Model,Scene,LPIPS,Masked LPIPS,Masked PSNR,Masked SSIM,PSNR,SSIM
3dcs,Meetingroom,0.20709790289402008,0.17979329824447632,19.38374137878418,0.766533613204956,26.625131607055664,0.885402262210846
3dcs,Truck,0.16811053454875946,0.15153461694717407,20.345008850097656,0.7853970527648926,25.659103393554688,0.8702277541160583
3dcs,tnt average,0.20295430223147073,0.2129812960823377,20.303590456644695,0.7326351304848989,25.075709025065105,0.8368774155775706
3dcs,bicycle,0.2175145000219345,0.23074524104595184,22.196653366088867,0.7021238803863525,24.676170349121094,0.7363832592964172
3dcs,bonsai,0.17954714596271515,0.08903764933347702,26.99830436706543,0.9252108931541443,32.55391311645508,0.9444883465766907
3dcs,counter,0.18090681731700897,0.14898274838924408,21.198808670043945,0.8217410445213318,29.05555534362793,0.9086434841156006
3dcs,flowers,0.32221171259880066,0.35766541957855225,18.286558151245117,0.5116124749183655,20.455717086791992,0.5739333629608154
3dcs,garden,0.1129670962691307,0.1191612109541893,24.913589477539062,0.8340710997581482,27.09023094177246,0.8507776856422424
3dcs,kitchen,0.11642400175333023,0.09719271212816238,29.041170120239258,0.926862895488739,31.828155517578125,0.9298398494720459
3dcs,room,0.19163276255130768,0.16837388277053833,25.16748809814453,0.84731525182724,31.597593307495117,0.9246598482131958
3dcs,stump,0.22834569215774536,0.22891691327095032,23.605106353759766,0.7326186299324036,26.046527862548828,0.7456187009811401
3dcs,treehill,0.3176354765892029,0.35104426741600037,18.952280044555664,0.5050064325332642,21.692289352416992,0.5944960713386536
3dcs,mp360 average,0.2074650228023529,0.1990133383207851,23.373328738742405,0.7562847336133321,27.221794764200848,0.800982289844089
radfoam,Barn,0.2722938060760498,0.30388814210891724,21.11492156982422,0.6867204308509827,27.041805267333984,0.8218278288841248
radfoam,Caterpillar,0.34579357504844666,0.40235188603401184,18.7603702545166,0.5698824524879456,21.845796585083008,0.7112069725990295
radfoam,Courthouse,nan,nan,nan,nan,nan,nan
radfoam,Ignatius,0.3398894965648651,0.3674719035625458,18.28884506225586,0.57771235704422,21.13548469543457,0.6950189471244812
radfoam,Meetingroom,0.2692367136478424,0.2645913064479828,18.381282806396484,0.7027861475944519,23.035938262939453,0.8272424936294556
radfoam,Truck,0.2772735059261322,0.28302592039108276,19.168439865112305,0.673946738243103,23.804733276367188,0.8133133053779602
radfoam,tnt average,0.30089741945266724,0.3242658317089081,19.142771911621093,0.6422096252441406,23.37275161743164,0.7737219095230102
radfoam,bicycle,0.32993263006210327,0.325796514749527,21.560405731201172,0.645896315574646,24.223173141479492,0.6763536334037781
radfoam,bonsai,0.20221468806266785,0.10955789685249329,26.998525619506836,0.9131829738616943,32.17794418334961,0.9249391555786133
radfoam,counter,0.2194633036851883,0.1749129593372345,21.727596282958984,0.8070573210716248,28.53437042236328,0.8750388622283936
