Model,Dataset,Scene,Metric,Standard Value,Masked Value,Difference
triangle_splatting2,tnt,Courthouse,LPIPS,0.33264821767807,0.4470134973526001,0.11436527967453008
triangle_splatting2,mp360,flowers,LPIPS,0.3898970484733581,0.4209423363208771,0.031045287847518976
triangle_splatting2,mp360,garden,LPIPS,0.225471630692482,0.2456720024347305,0.020200371742248507
triangle_splatting2,tnt,Ignatius,LPIPS,0.3688265085220337,0.3855200111865997,0.016693502664565985
triangle_splatting2,mp360,kitchen,LPIPS,0.1751319020986557,0.13401560485363,-0.04111629724502569
triangle_splatting2,tnt,Meetingroom,LPIPS,0.2980185449123382,0.2834757566452026,-0.01454278826713562
triangle_splatting2,mp360,room,LPIPS,0.2640874683856964,0.2340907603502273,-0.02999670803546911
triangle_splatting2,mp360,stump,LPIPS,0.3237404227256775,0.3006741106510162,-0.02306631207466131
triangle_splatting2,mp360,treehill,LPIPS,0.4170275032520294,0.4496848881244659,0.03265738487243647
triangle_splatting2,tnt,Truck,LPIPS,0.2710776925086975,0.2828584909439087,0.011780798435211182
2dgs,tnt,Barn,LPIPS,0.26992267370224,0.2729211449623108,0.0029984712600708008
2dgs,mp360,bicycle,LPIPS,0.2745908796787262,0.2475515156984329,-0.0270393639802933
2dgs,mp360,bonsai,LPIPS,0.2294596284627914,0.115810640156269,-0.11364898830652238
2dgs,tnt,Caterpillar,LPIPS,0.3181877136230469,0.3508564233779907,0.03266870975494385
2dgs,mp360,counter,LPIPS,0.2336678355932235,0.1606718003749847,-0.07299603521823878
2dgs,tnt,Courthouse,LPIPS,0.3124571740627289,0.421568900346756,0.1091117262840271
2dgs,mp360,flowers,LPIPS,0.3793813586235046,0.4223310351371765,0.04294967651367193
2dgs,mp360,garden,LPIPS,0.1550227850675583,0.1522195637226104,-0.002803221344947898
2dgs,tnt,Ignatius,LPIPS,0.2754216194152832,0.2648416459560394,-0.01057997345924383
2dgs,mp360,kitchen,LPIPS,0.1489738225936889,0.1086117550730705,-0.04036206752061841
2dgs,tnt,Meetingroom,LPIPS,0.2669010460376739,0.242277443408966,-0.024623602628707886
2dgs,mp360,room,LPIPS,0.2463597953319549,0.1957209110260009,-0.05063888430595401
2dgs,mp360,stump,LPIPS,0.2643651962280273,0.2413112968206405,-0.02305389940738678
2dgs,mp360,treehill,LPIPS,0.3808530569076538,0.3865840137004852,0.005730956792831365
2dgs,tnt,Truck,LPIPS,0.2424886226654052,0.1883749812841415,-0.05411364138126368
radegs,tnt,Barn,LPIPS,0.2328178286552429,0.1987833082675933,-0.03403452038764959
radegs,mp360,bicycle,LPIPS,0.2430377900600433,0.2299389392137527,-0.013098850846290616
radegs,mp360,bonsai,LPIPS,0.0716217160224914,0.0450579859316349,-0.026563730090856497
radegs,tnt,Caterpillar,LPIPS,0.2694219648838043,0.2945069968700409,0.025085031986236572
radegs,mp360,counter,LPIPS,0.1019235327839851,0.0915465578436851,-0.010376974940300002
radegs,tnt,Courthouse,LPIPS,0.3352652788162231,0.4417603313922882,0.10649505257606512
radegs,mp360,flowers,LPIPS,0.3562169075012207,0.3947902917861938,0.03857338428497309
radegs,mp360,garden,LPIPS,0.1610160917043686,0.1482334285974502,-0.01278266310691839
radegs,tnt,Ignatius,LPIPS,0.2371929287910461,0.2261935025453567,-0.010999426245689392
