Model,Dataset,Scene,file_name,Metric,Standard Value,Masked1 Value,Masked2 Value,Masked3 Value,Masked4 Value,Difference1,Difference2,Difference3,Difference4
3dgs,TnT,Meetingroom,3dgs_Meetingroom_000353.jpg.png,LPIPS,0.21830278635025024,0.17962445318698883,0.14976990222930908,0.1423703134059906,0.22992177307605743,-0.038678333163261414,-0.06853288412094116,-0.07593247294425964,0.01161898672580719
3dgs,TnT,Meetingroom,3dgs_Meetingroom_000361.jpg.png,LPIPS,0.22027727961540222,0.1856890618801117,0.15700480341911316,0.1354803591966629,0.2610272169113159,-0.03458821773529053,-0.06327247619628906,-0.08479692041873932,0.040749937295913696
3dgs,TnT,Meetingroom,3dgs_Meetingroom_000369.jpg.png,LPIPS,0.25697237253189087,0.1516384780406952,0.14797420799732208,0.15022869408130646,0.30130040645599365,-0.10533389449119568,-0.10899816453456879,-0.10674367845058441,0.04432803392410278
3dgs,MP360,room,3dgs_room_DSCF4667.JPG.png,SSIM,0.8856305480003357,0.8858405947685242,0.8738667964935303,0.8763363361358643,0.8069770932197571,-0.00021004676818847656,0.01176375150680542,0.009294211864471436,0.07865345478057861
3dgs,MP360,room,3dgs_room_DSCF4675.JPG.png,SSIM,0.9021816849708557,0.9210894703865051,0.9167440533638,0.8930616974830627,0.8430528044700623,-0.018907785415649414,-0.014562368392944336,0.009119987487792969,0.05912888050079346
3dgs,MP360,room,3dgs_room_DSCF4683.JPG.png,SSIM,0.8980607986450195,0.9275587201118469,0.9278735518455505,0.9215871691703796,0.8463351726531982,-0.029497921466827393,-0.029812753200531006,-0.023526370525360107,0.05172562599182129
3dgs,MP360,room,3dgs_room_DSCF4691.JPG.png,SSIM,0.9293414950370789,0.9346255660057068,0.9350708723068237,0.9431845545768738,0.9363701343536377,-0.00528407096862793,-0.005729377269744873,-0.013843059539794922,-0.007028639316558838
3dgs,MP360,room,3dgs_room_DSCF4699.JPG.png,SSIM,0.9461166262626648,0.9263616800308228,0.9174078702926636,0.9146962761878967,0.8944584131240845,0.01975494623184204,0.02870875597000122,0.031420350074768066,0.05165821313858032
3dgs,MP360,room,3dgs_room_DSCF4707.JPG.png,SSIM,0.9242664575576782,0.9065983891487122,0.8892464637756348,0.8899745345115662,0.9123431444168091,0.017668068408966064,0.03501999378204346,0.03429192304611206,0.01192331314086914
3dgs,MP360,room,3dgs_room_DSCF4715.JPG.png,SSIM,0.9195657968521118,0.941515326499939,0.9372363686561584,0.930787205696106,0.8601969480514526,-0.02194952964782715,-0.01767057180404663,-0.01122140884399414,0.05936884880065918
3dgs,MP360,room,3dgs_room_DSCF4723.JPG.png,SSIM,0.9560977220535278,0.9392260909080505,0.9353285431861877,0.9413255453109741,0.932035505771637,0.016871631145477295,0.020769178867340088,0.014772176742553711,0.02406221628189087
3dgs,MP360,room,3dgs_room_DSCF4731.JPG.png,SSIM,0.9281036257743835,0.8972875475883484,0.8823593258857727,0.8783436417579651,0.8820273280143738,0.030816078186035156,0.04574429988861084,0.04975998401641846,0.046076297760009766
3dgs,MP360,room,3dgs_room_DSCF4739.JPG.png,SSIM,0.9447486400604248,0.9386581778526306,0.933964192867279,0.9404475092887878,0.9299814701080322,0.0060904622077941895,0.010784447193145752,0.004301130771636963,0.014767169952392578
3dgs,MP360,room,3dgs_room_DSCF4747.JPG.png,SSIM,0.9320207834243774,0.9411920309066772,0.9385048747062683,0.9383305907249451,0.9235426187515259,-0.009171247482299805,-0.006484091281890869,-0.006309807300567627,0.008478164672851562
