Model,Dataset,Scene,Metric,Standard Value,Masked1 Value,Masked2 Value,Masked3 Value,Masked4 Value,Difference1,Difference2,Difference3,Difference4
3dhgs,MP360,kitchen,LPIPS,0.12191960215568542,0.10074403882026672,0.11471728980541229,0.08560050278902054,0.09488151967525482,-0.0211755633354187,-0.007202312350273132,-0.036319099366664886,-0.027038082480430603
3dhgs,TnT,Meetingroom,SSIM,0.8799257278442383,0.8879562616348267,0.8262726664543152,0.7669251561164856,0.7343209385871887,-0.008030533790588379,0.053653061389923096,0.11300057172775269,0.14560478925704956
3dhgs,TnT,Meetingroom,PSNR,26.49510383605957,27.76408576965332,24.909523010253906,22.628774642944336,19.70488739013672,-1.26898193359375,1.585580825805664,3.8663291931152344,6.790216445922852
3dhgs,TnT,Meetingroom,LPIPS,0.23080657422542572,0.14509539306163788,0.15614375472068787,0.14140304923057556,0.20910988748073578,-0.08571118116378784,-0.07466281950473785,-0.08940352499485016,-0.02169668674468994
3dhgs,MP360,room,SSIM,0.9219388961791992,0.9230569005012512,0.9085574746131897,0.876622200012207,0.8471623063087463,-0.001118004322052002,0.013381421566009521,0.04531669616699219,0.07477658987045288
3dhgs,MP360,room,PSNR,32.02804183959961,33.108375549316406,31.514976501464844,28.227445602416992,25.444360733032227,-1.0803337097167969,0.5130653381347656,3.800596237182617,6.583681106567383
3dhgs,MP360,room,LPIPS,0.21276992559432983,0.12773051857948303,0.1565474271774292,0.12549465894699097,0.15953505039215088,-0.0850394070148468,-0.056222498416900635,-0.08727526664733887,-0.053234875202178955
3dhgs,MP360,stump,SSIM,0.7603554725646973,0.7663279175758362,0.7575337886810303,0.7559252977371216,0.7502340078353882,-0.005972445011138916,0.002821683883666992,0.004430174827575684,0.010121464729309082
3dhgs,MP360,stump,PSNR,26.409563064575195,29.11760711669922,27.800662994384766,25.56978988647461,24.011981964111328,-2.7080440521240234,-1.3910999298095703,0.8397731781005859,2.397581100463867
3dhgs,MP360,stump,LPIPS,0.2176051139831543,0.20149089395999908,0.22402255237102509,0.15900057554244995,0.19494277238845825,-0.016114220023155212,0.006417438387870789,-0.058604538440704346,-0.022662341594696045
3dhgs,MP360,treehill,SSIM,0.6315970420837402,0.7219929695129395,0.6496512293815613,0.5805801153182983,0.5411578416824341,-0.09039592742919922,-0.018054187297821045,0.051016926765441895,0.09043920040130615
3dhgs,MP360,treehill,PSNR,22.58003044128418,26.572336196899414,24.46088981628418,22.454607009887695,19.384864807128906,-3.9923057556152344,-1.880859375,0.12542343139648438,3.1951656341552734
3dhgs,MP360,treehill,LPIPS,0.31692588329315186,0.24047575891017914,0.21321384608745575,0.19757650792598724,0.3144078850746155,-0.07645012438297272,-0.1037120372056961,-0.11934937536716461,-0.002517998218536377
3dhgs,TnT,Truck,SSIM,0.8621060848236084,0.8756911754608154,0.8298207521438599,0.7871320247650146,0.7625953555107117,-0.013585090637207031,0.032285332679748535,0.07497406005859375,0.09951072931289673
3dhgs,TnT,Truck,PSNR,25.660154342651367,29.186992645263672,26.298803329467773,22.925155639648438,20.172700881958008,-3.5268383026123047,-0.6386489868164062,2.7349987030029297,5.487453460693359
3dhgs,TnT,Truck,LPIPS,0.21005818247795105,0.14003130793571472,0.14959435164928436,0.1486664116382599,0.16687437891960144,-0.07002687454223633,-0.06046383082866669,-0.06139177083969116,-0.04318380355834961
radegs_masked,TnT,Barn,SSIM,0.8659560084342957,0.8777250051498413,0.8574679493904114,0.8382905721664429,0.801223635673523,-0.011768996715545654,0.008488059043884277,0.027665436267852783,0.0647323727607727
radegs_masked,TnT,Barn,PSNR,26.346601486206055,26.873220443725586,25.575124740600586,23.3551025390625,20.440776824951172,-0.5266189575195312,0.7714767456054688,2.9914989471435547,5.905824661254883
radegs_masked,TnT,Barn,LPIPS,0.21563385426998138,0.14410795271396637,0.1300700604915619,0.13119274377822876,0.14819082617759705,-0.07152590155601501,-0.0855637937784195,-0.08444111049175262,-0.06744302809238434
radegs_masked,MP360,bicycle,SSIM,0.8081109523773193,0.8292277455329895,0.8114055395126343,0.8138803243637085,0.7929872274398804,-0.021116793155670166,-0.0032945871353149414,-0.00576937198638916,0.015123724937438965
radegs_masked,MP360,bicycle,PSNR,25.5578670501709,27.6121768951416,26.0616455078125,23.939119338989258,22.080982208251953,-2.054309844970703,-0.5037784576416016,1.6187477111816406,3.4768848419189453
radegs_masked,MP360,bicycle,LPIPS,0.1603969931602478,0.11017420887947083,0.10395186394453049,0.10537778586149216,0.1152779757976532,-0.05022278428077698,-0.056445129215717316,-0.055019207298755646,-0.045119017362594604
radegs_masked,MP360,bonsai,SSIM,0.948273241519928,0.9414850473403931,0.9354315996170044,0.9317912459373474,0.9298200011253357,0.006788194179534912,0.012841641902923584,0.016481995582580566,0.018453240394592285
radegs_masked,MP360,bonsai,PSNR,30.796354293823242,30.043136596679688,28.962505340576172,27.917560577392578,25.401935577392578,0.7532176971435547,1.8338489532470703,2.878793716430664,5.394418716430664
radegs_masked,MP360,bonsai,LPIPS,0.16592854261398315,0.09916792809963226,0.07953574508428574,0.06139276549220085,0.056968532502651215,-0.06676061451435089,-0.08639279752969742,-0.1045357771217823,-0.10896001011133194
radegs_masked,TnT,Caterpillar,SSIM,0.7941358089447021,0.7905885577201843,0.7587823271751404,0.7335874438285828,0.7076942324638367,0.0035472512245178223,0.03535348176956177,0.060548365116119385,0.08644157648086548
radegs_masked,TnT,Caterpillar,PSNR,22.5450382232666,22.8100528717041,22.001359939575195,20.381460189819336,18.818143844604492,-0.2650146484375,0.5436782836914062,2.1635780334472656,3.7268943786621094
radegs_masked,TnT,Caterpillar,LPIPS,0.23858366906642914,0.17067931592464447,0.15333636105060577,0.20446942746639252,0.1853455752134323,-0.06790435314178467,-0.08524730801582336,-0.03411424160003662,-0.053238093852996826
radegs_masked,MP360,counter,SSIM,0.9153585433959961,0.9016348123550415,0.883576512336731,0.869635820388794,0.8090231418609619,0.01372373104095459,0.03178203105926514,0.04572272300720215,0.10633540153503418
radegs_masked,MP360,counter,PSNR,28.876102447509766,28.511335372924805,26.32969856262207,23.738447189331055,18.636444091796875,0.36476707458496094,2.5464038848876953,5.137655258178711,10.23965835571289
radegs_masked,MP360,counter,LPIPS,0.17704200744628906,0.13497591018676758,0.12364378571510315,0.12551243603229523,0.11886346340179443,-0.042066097259521484,-0.05339822173118591,-0.051529571413993835,-0.05817854404449463
radegs_masked,TnT,Courthouse,SSIM,0.7517389059066772,0.6993209719657898,0.6208166480064392,0.5106689929962158,0.49060600996017456,0.05241793394088745,0.13092225790023804,0.24106991291046143,0.2611328959465027
radegs_masked,TnT,Courthouse,PSNR,19.421253204345703,18.15751075744629,17.667360305786133,16.521514892578125,15.181001663208008,1.263742446899414,1.7538928985595703,2.899738311767578,4.240251541137695
radegs_masked,TnT,Courthouse,LPIPS,0.3337341547012329,0.33206799626350403,0.3333790600299835,0.4342332184314728,0.42619261145591736,-0.0016661584377288818,-0.00035509467124938965,0.10049906373023987,0.09245845675468445
radegs_masked,MP360,flowers,SSIM,0.6651368737220764,0.7284479141235352,0.6973008513450623,0.6825113892555237,0.6299858689308167,-0.06331104040145874,-0.03216397762298584,-0.017374515533447266,0.035151004791259766
radegs_masked,MP360,flowers,PSNR,22.007112503051758,25.714998245239258,23.787187576293945,21.58721351623535,18.75567054748535,-3.7078857421875,-1.7800750732421875,0.41989898681640625,3.2514419555664062
radegs_masked,MP360,flowers,LPIPS,0.24813133478164673,0.18403959274291992,0.20063738524913788,0.15837687253952026,0.21930451691150665,-0.0640917420387268,-0.04749394953250885,-0.08975446224212646,-0.028826817870140076
radegs_masked,MP360,garden,SSIM,0.8816831707954407,0.8993586897850037,0.8880102038383484,0.8843439221382141,0.8666558265686035,-0.01767551898956299,-0.006327033042907715,-0.0026607513427734375,0.015027344226837158
radegs_masked,MP360,garden,PSNR,27.331567764282227,28.850418090820312,27.518661499023438,25.506765365600586,24.30784034729004,-1.518850326538086,-0.18709373474121094,1.8248023986816406,3.0237274169921875
radegs_masked,MP360,garden,LPIPS,0.09237993508577347,0.0718579813838005,0.06584371626377106,0.0585264228284359,0.09286949783563614,-0.02052195370197296,-0.02653621882200241,-0.03385351225733757,0.0004895627498626709
radegs_masked,TnT,Ignatius,SSIM,0.770399272441864,0.7744386792182922,0.7364578247070312,0.726844310760498,0.6808678507804871,-0.004039406776428223,0.033941447734832764,0.04355496168136597,0.08953142166137695
radegs_masked,TnT,Ignatius,PSNR,20.716434478759766,21.400291442871094,20.275012969970703,18.988691329956055,17.519433975219727,-0.6838569641113281,0.4414215087890625,1.727743148803711,3.197000503540039
radegs_masked,TnT,Ignatius,LPIPS,0.22605633735656738,0.1722547858953476,0.1574883908033371,0.16259066760540009,0.1825602799654007,-0.05380155146121979,-0.06856794655323029,-0.0634656697511673,-0.04349605739116669
radegs_masked,MP360,kitchen,SSIM,0.9335263967514038,0.9305214881896973,0.9263567328453064,0.934984564781189,0.9423258900642395,0.003004908561706543,0.007169663906097412,-0.0014581680297851562,-0.008799493312835693
radegs_masked,MP360,kitchen,PSNR,31.292308807373047,30.84256362915039,29.601221084594727,29.17911720275879,27.929983139038086,0.44974517822265625,1.6910877227783203,2.113191604614258,3.362325668334961
radegs_masked,MP360,kitchen,LPIPS,0.1133425310254097,0.0966472178697586,0.09358187764883041,0.07827640324831009,0.05521240830421448,-0.016695313155651093,-0.019760653376579285,-0.03506612777709961,-0.05813012272119522
radegs_masked,TnT,Meetingroom,SSIM,0.870519757270813,0.8281717300415039,0.7658053636550903,0.7297858595848083,0.713365912437439,0.04234802722930908,0.10471439361572266,0.14073389768600464,0.15715384483337402
radegs_masked,TnT,Meetingroom,PSNR,25.218759536743164,23.801097869873047,21.132347106933594,20.032413482666016,17.88512420654297,1.4176616668701172,4.08641242980957,5.186346054077148,7.333635330200195
radegs_masked,TnT,Meetingroom,LPIPS,0.24052052199840546,0.16911758482456207,0.16653132438659668,0.15836073458194733,0.21212893724441528,-0.07140293717384338,-0.07398919761180878,-0.08215978741645813,-0.028391584753990173
radegs_masked,MP360,room,SSIM,0.9255717396736145,0.9101241827011108,0.8894565105438232,0.8784393668174744,0.8584568500518799,0.015447556972503662,0.03611522912979126,0.04713237285614014,0.06711488962173462
radegs_masked,MP360,room,PSNR,29.32975196838379,28.668872833251953,27.369937896728516,25.088653564453125,23.137727737426758,0.6608791351318359,1.9598140716552734,4.241098403930664,6.192024230957031
radegs_masked,MP360,room,LPIPS,0.1875821053981781,0.1446041613817215,0.1293795257806778,0.11390019953250885,0.09547626972198486,-0.042977944016456604,-0.058202579617500305,-0.07368190586566925,-0.09210583567619324
radegs_masked,MP360,stump,SSIM,0.8126065731048584,0.8170046210289001,0.82246994972229,0.8236158490180969,0.8109309077262878,-0.004398047924041748,-0.00986337661743164,-0.011009275913238525,0.0016756653785705566
radegs_masked,MP360,stump,PSNR,27.117219924926758,28.41876792907715,26.84865379333496,24.585468292236328,23.511436462402344,-1.3015480041503906,0.2685661315917969,2.5317516326904297,3.605783462524414
radegs_masked,MP360,stump,LPIPS,0.1766694039106369,0.17132468521595,0.15118198096752167,0.12985092401504517,0.1333264261484146,-0.00534471869468689,-0.025487422943115234,-0.046818479895591736,-0.04334297776222229
radegs_masked,MP360,treehill,SSIM,0.6628578901290894,0.6913712024688721,0.6486674547195435,0.5986964702606201,0.5548568964004517,-0.028513312339782715,0.014190435409545898,0.06416141986846924,0.1080009937286377
radegs_masked,MP360,treehill,PSNR,22.182926177978516,23.377098083496094,21.40329360961914,19.658838272094727,17.610164642333984,-1.1941719055175781,0.779632568359375,2.524087905883789,4.572761535644531
radegs_masked,MP360,treehill,LPIPS,0.25741124153137207,0.20146197080612183,0.2052428275346756,0.15884293615818024,0.27512794733047485,-0.055949270725250244,-0.05216841399669647,-0.09856830537319183,0.017716705799102783
radegs_masked,TnT,Truck,SSIM,0.8609430193901062,0.8355885744094849,0.7984338998794556,0.7822132706642151,0.7585166692733765,0.025354444980621338,0.06250911951065063,0.07872974872589111,0.10242635011672974
radegs_masked,TnT,Truck,PSNR,23.18987464904785,24.028518676757812,22.55136489868164,20.4241886138916,18.636743545532227,-0.8386440277099609,0.6385097503662109,2.76568603515625,4.553131103515625
radegs_masked,TnT,Truck,LPIPS,0.20188002288341522,0.14486469328403473,0.14720728993415833,0.15151569247245789,0.16350269317626953,-0.05701532959938049,-0.0546727329492569,-0.050364330410957336,-0.03837732970714569
3dgs,TnT,Barn,SSIM,0.8454518914222717,0.8657388687133789,0.8354867100715637,0.7988608479499817,0.7415143251419067,-0.020286977291107178,0.009965181350708008,0.04659104347229004,0.10393756628036499
3dgs,TnT,Barn,PSNR,27.981700897216797,29.346588134765625,26.648433685302734,23.385610580444336,19.252029418945312,-1.3648872375488281,1.3332672119140625,4.596090316772461,8.729671478271484
3dgs,TnT,Barn,LPIPS,0.24377670884132385,0.16791072487831116,0.1465967297554016,0.16466806828975677,0.2323392778635025,-0.0758659839630127,-0.09717997908592224,-0.07910864055156708,-0.01143743097782135
3dgs,MP360,bicycle,SSIM,0.7650355696678162,0.7992061376571655,0.7756500840187073,0.7753579616546631,0.7468634843826294,-0.034170567989349365,-0.010614514350891113,-0.010322391986846924,0.018172085285186768
3dgs,MP360,bicycle,PSNR,25.231090545654297,27.476337432861328,25.872201919555664,23.622852325439453,21.548974990844727,-2.2452468872070312,-0.6411113739013672,1.6082382202148438,3.6821155548095703
